"DRXTSELE.Code.or.Value","DRXTSELE.Value.Description","DRXTSELE.Count","DRXTSELE.Cumulative","DRXTSELE.Skip.to.Item"
"0 to 1265.86","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
