"WBXA059.Code.or.Value","WBXA059.Value.Description","WBXA059.Count","WBXA059.Cumulative","WBXA059.Skip.to.Item"
"-3.0691 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
