"LBCPDELA.Code.or.Value","LBCPDELA.Value.Description","LBCPDELA.Count","LBCPDELA.Cumulative","LBCPDELA.Skip.to.Item"
"19.99 to 1896","Range of Values",259,259,NA
".","Missing",6,265,NA
