"LBDGHCLC.Code.or.Value","LBDGHCLC.Value.Description","LBDGHCLC.Count","LBDGHCLC.Cumulative","LBDGHCLC.Skip.to.Item"
"0","detectable result",49,49,NA
"1","below detectable limit",1750,1799,NA
".","Missing",475,2274,NA
