"WBXA033.Code.or.Value","WBXA033.Value.Description","WBXA033.Count","WBXA033.Cumulative","WBXA033.Skip.to.Item"
"-6.2678 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
