"DR2TS140.Code.or.Value","DR2TS140.Value.Description","DR2TS140.Count","DR2TS140.Cumulative","DR2TS140.Skip.to.Item"
"0 to 18.323","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
