"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",1692,1692,NA
"1","Below lower detection limit",499,2191,NA
".","Missing",158,2349,NA
