"OSQ180.Code.or.Value","OSQ180.Value.Description","OSQ180.Count","OSQ180.Cumulative","OSQ180.Skip.to.Item"
"10 to 100","Range of Values",289,289,NA
"777","Refused",0,289,NA
"999","Don't know",6,295,NA
".","Missing",5923,6218,NA
