"SSDBUP.Code.or.Value","SSDBUP.Value.Description","SSDBUP.Count","SSDBUP.Cumulative","SSDBUP.Skip.to.Item"
"0.071 to 12.5","Range of Values",2031,2031,NA
".","Missing",23,2054,NA
