"BPXDI2.Code.or.Value","BPXDI2.Value.Description","BPXDI2.Count","BPXDI2.Cumulative","BPXDI2.Skip.to.Item"
"0 to 128","Range of Values",6897,6897,NA
".","Missing",3580,10477,NA
