"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 2.882","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
