"WTSPP46.Code.or.Value","WTSPP46.Value.Description","WTSPP46.Count","WTSPP46.Cumulative","WTSPP46.Skip.to.Item"
"0 to 851392.9774","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
