"DR2IATOA.Code.or.Value","DR2IATOA.Value.Description","DR2IATOA.Count","DR2IATOA.Cumulative","DR2IATOA.Skip.to.Item"
"0 to 54.99","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
