"AUXR6KR.Code.or.Value","AUXR6KR.Value.Description","AUXR6KR.Count","AUXR6KR.Cumulative","AUXR6KR.Skip.to.Item"
"60 to 95","Range of Values",7,7,NA
"666","No response",1,8,NA
"888","Could not obtain",0,8,NA
".","Missing",1799,1807,NA
