"DR2TATOC.Code.or.Value","DR2TATOC.Value.Description","DR2TATOC.Count","DR2TATOC.Cumulative","DR2TATOC.Skip.to.Item"
"0 to 103.72","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
