"LBXSY1.Code.or.Value","LBXSY1.Value.Description","LBXSY1.Count","LBXSY1.Cumulative","LBXSY1.Skip.to.Item"
"1","Positive",53,53,NA
"2","Negative",2676,2729,NA
"3","Indeterminate",10,2739,NA
".","Missing",237,2976,NA
