"SXD031.Code.or.Value","SXD031.Value.Description","SXD031.Count","SXD031.Cumulative","SXD031.Skip.to.Item"
"10 to 51","Range of Values",3795,3795,NA
"9","9 years or younger",59,3854,NA
"77","Refused",4,3858,NA
"99","Don't know",3,3861,NA
".","Missing",935,4796,NA
