"AUXR3KL.Code.or.Value","AUXR3KL.Value.Description","AUXR3KL.Count","AUXR3KL.Cumulative","AUXR3KL.Skip.to.Item"
"5 to 120","Range of Values",13,13,NA
"666","No response",1,14,NA
"888","Could not obtain",0,14,NA
".","Missing",3020,3034,NA
