"DSQTCALC.Code.or.Value","DSQTCALC.Value.Description","DSQTCALC.Count","DSQTCALC.Cumulative","DSQTCALC.Skip.to.Item"
"0.1 to 4000","Range of Values",2543,2543,NA
".","Missing",7632,10175,NA
