"DR2IGRMS.Code.or.Value","DR2IGRMS.Value.Description","DR2IGRMS.Count","DR2IGRMS.Cumulative","DR2IGRMS.Skip.to.Item"
"0.03 to 8887.5","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
