"LBDF09LC.Code.or.Value","LBDF09LC.Value.Description","LBDF09LC.Count","LBDF09LC.Cumulative","LBDF09LC.Skip.to.Item"
"0","At or above the detection limit",9,9,NA
"1","Below lower detection limit",237,246,NA
".","Missing",18,264,NA
