"PAQ724w.Code.or.Value","PAQ724w.Value.Description","PAQ724w.Count","PAQ724w.Cumulative","PAQ724w.Skip.to.Item"
"23","SWIMMING",272,272,NA
".","Missing",9212,9484,NA
