"LBDHDDSI.Code.or.Value","LBDHDDSI.Value.Description","LBDHDDSI.Count","LBDHDDSI.Cumulative","LBDHDDSI.Skip.to.Item"
"0.16 to 5.84","Range of Values",7256,7256,NA
".","Missing",765,8021,NA
