"LBCBR2LA.Code.or.Value","LBCBR2LA.Value.Description","LBCBR2LA.Count","LBCBR2LA.Cumulative","LBCBR2LA.Skip.to.Item"
"0.1838 to 7.117","Range of Values",265,265,NA
".","Missing",0,265,NA
