"WTIREP10.Code.or.Value","WTIREP10.Value.Description","WTIREP10.Count","WTIREP10.Cumulative","WTIREP10.Skip.to.Item"
"0 to 240731.79741","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
