"BPXDI2.Code.or.Value","BPXDI2.Value.Description","BPXDI2.Count","BPXDI2.Cumulative","BPXDI2.Skip.to.Item"
"0 to 122","Range of Values",6876,6876,NA
".","Missing",2886,9762,NA
