"LBD209LC.Code.or.Value","LBD209LC.Value.Description","LBD209LC.Count","LBD209LC.Cumulative","LBD209LC.Skip.to.Item"
"0","At or above the detection limit",206,206,NA
"1","Below lower detection limit",77,283,NA
".","Missing",1,284,NA
