"CKQ070Q.Code.or.Value","CKQ070Q.Value.Description","CKQ070Q.Count","CKQ070Q.Cumulative","CKQ070Q.Skip.to.Item"
"1 to 200","Range of Values",1364,1364,NA
"77777","Refused",0,1364,NA
"99999","Don't know",6,1370,NA
".","Missing",5609,6979,NA
