"DR1TCAFF.Code.or.Value","DR1TCAFF.Value.Description","DR1TCAFF.Count","DR1TCAFF.Cumulative","DR1TCAFF.Skip.to.Item"
"0 to 4607","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
