"URXSMM.Code.or.Value","URXSMM.Value.Description","URXSMM.Count","URXSMM.Cumulative","URXSMM.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2458,2458,NA
".","Missing",236,2694,NA
