"LBXNEPCT.Code.or.Value","LBXNEPCT.Value.Description","LBXNEPCT.Count","LBXNEPCT.Cumulative","LBXNEPCT.Skip.to.Item"
"7.3 to 90.1","Range of Values",8925,8925,NA
".","Missing",1004,9929,NA
