"ECQ020.Code.or.Value","ECQ020.Value.Description","ECQ020.Count","ECQ020.Cumulative","ECQ020.Skip.to.Item"
"1","Yes",532,532,""
"2","No",3335,3867,"ECQ060"
"7","Refused",0,3867,"ECQ060"
"9","Don't know",49,3916,"ECQ060"
".","Missing",5,3921,""
