"TYXA221.Code.or.Value","TYXA221.Value.Description","TYXA221.Count","TYXA221.Cumulative","TYXA221.Skip.to.Item"
"0.296 to 3.893","Range of Values",161,161,NA
".","Missing",5424,5585,NA
