"DIQ080.Code.or.Value","DIQ080.Value.Description","DIQ080.Count","DIQ080.Cumulative","DIQ080.Skip.to.Item"
"1","Yes",156,156,NA
"2","No",569,725,NA
"7","Refused",0,725,NA
"9","Don't know",7,732,NA
".","Missing",9038,9770,NA
