"WBXP075.Code.or.Value","WBXP075.Value.Description","WBXP075.Count","WBXP075.Cumulative","WBXP075.Skip.to.Item"
"-147.3163 to 160.5601","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
