"CBD131.Code.or.Value","CBD131.Value.Description","CBD131.Count","CBD131.Cumulative","CBD131.Skip.to.Item"
"0 to 950","Range of Values",8647,8647,NA
"8400","8400 and over",0,8647,NA
"777777","Refused",10,8657,NA
"999999","Don't know",120,8777,NA
".","Missing",477,9254,NA
