"DR1IVB1.Code.or.Value","DR1IVB1.Value.Description","DR1IVB1.Count","DR1IVB1.Cumulative","DR1IVB1.Skip.to.Item"
"0 to 5.489","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
