"DXXLSA.Code.or.Value","DXXLSA.Value.Description","DXXLSA.Count","DXXLSA.Cumulative","DXXLSA.Skip.to.Item"
"8.39 to 85.54","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
