"DS1LOC.Code.or.Value","DS1LOC.Value.Description","DS1LOC.Count","DS1LOC.Cumulative","DS1LOC.Skip.to.Item"
"1","HouseHold Interview",5091,5091,NA
"2","MEC Interview",867,5958,NA
"3","Phone Interview",0,5958,NA
".","Missing",0,5958,NA
