"ORXH42.Code.or.Value","ORXH42.Value.Description","ORXH42.Count","ORXH42.Cumulative","ORXH42.Skip.to.Item"
"1","Positive",6,6,NA
"2","Negative",4540,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
