"WHD100A.Code.or.Value","WHD100A.Value.Description","WHD100A.Count","WHD100A.Cumulative","WHD100A.Skip.to.Item"
"10","Ate less food (amount)",261,261,NA
"77","Refused",0,261,NA
"99","Don't know",0,261,NA
".","Missing",6628,6889,NA
