"DX2RAA.Code.or.Value","DX2RAA.Value.Description","DX2RAA.Count","DX2RAA.Cumulative","DX2RAA.Skip.to.Item"
"139.99 to 334.73","Range of Values",464,464,NA
".","Missing",21,485,NA
