"LBXGHC.Code.or.Value","LBXGHC.Value.Description","LBXGHC.Count","LBXGHC.Cumulative","LBXGHC.Skip.to.Item"
"0.015 to 1.314","Range of Values",1799,1799,NA
".","Missing",475,2274,NA
