"FIAINTRP.Code.or.Value","FIAINTRP.Value.Description","FIAINTRP.Count","FIAINTRP.Cumulative","FIAINTRP.Skip.to.Item"
"1","Yes",299,299,NA
"2","No",9352,9651,NA
".","Missing",105,9756,NA
