"ARQ022AD.Code.or.Value","ARQ022AD.Value.Description","ARQ022AD.Count","ARQ022AD.Cumulative","ARQ022AD.Skip.to.Item"
"1","Yes",845,845,"ARQ024d"
"2","No",143,988,""
"7","Refused",0,988,""
"9","Don't know",1,989,""
".","Missing",4117,5106,""
