"DXDHETOT.Code.or.Value","DXDHETOT.Value.Description","DXDHETOT.Count","DXDHETOT.Cumulative","DXDHETOT.Skip.to.Item"
"2545.2 to 9575.1","Range of Values",4725,4725,NA
".","Missing",967,5692,NA
