"DPQ100.Code.or.Value","DPQ100.Value.Description","DPQ100.Count","DPQ100.Cumulative","DPQ100.Skip.to.Item"
"0","Not at all difficult",2332,2332,NA
"1","Somewhat difficult",737,3069,NA
"2","Very difficult",80,3149,NA
"3","Extremely difficult",30,3179,NA
"7","Refused",0,3179,NA
"9","Don't know",6,3185,NA
".","Missing",2149,5334,NA
