"LBDMIRLC.Code.or.Value","LBDMIRLC.Value.Description","LBDMIRLC.Count","LBDMIRLC.Cumulative","LBDMIRLC.Skip.to.Item"
"0","At or above the detection limit",157,157,NA
"1","Below lower detection limit",107,264,NA
".","Missing",0,264,NA
