"PAXSSNHP.Code.or.Value","PAXSSNHP.Value.Description","PAXSSNHP.Count","PAXSSNHP.Cumulative","PAXSSNHP.Skip.to.Item"
"0 to 55329600","Range of Values",1477045,1477045,NA
".","Missing",0,1477045,NA
