"RFXT115.Code.or.Value","RFXT115.Value.Description","RFXT115.Count","RFXT115.Cumulative","RFXT115.Skip.to.Item"
"999 to 1008","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
