"RFXC009.Code.or.Value","RFXC009.Value.Description","RFXC009.Count","RFXC009.Cumulative","RFXC009.Skip.to.Item"
"-3.794 to 3.688","Range of Values",51075,51075,NA
".","Missing",1,51076,NA
