"DR2IKCAL.Code.or.Value","DR2IKCAL.Value.Description","DR2IKCAL.Count","DR2IKCAL.Cumulative","DR2IKCAL.Skip.to.Item"
"0 to 5443","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
