"DBD411.Code.or.Value","DBD411.Value.Description","DBD411.Count","DBD411.Cumulative","DBD411.Skip.to.Item"
"1 to 5","Range of Values",1133,1133,""
"0","None",1054,2187,"DBQ422"
"7777","Refused",0,2187,"DBQ422"
"9999","Don't know",8,2195,"DBQ422"
".","Missing",7561,9756,""
