"DS2ICALC.Code.or.Value","DS2ICALC.Value.Description","DS2ICALC.Count","DS2ICALC.Cumulative","DS2ICALC.Skip.to.Item"
"0.3 to 3000","Range of Values",1567,1567,NA
".","Missing",4209,5776,NA
