"CDQ009A.Code.or.Value","CDQ009A.Value.Description","CDQ009A.Count","CDQ009A.Cumulative","CDQ009A.Skip.to.Item"
"1","1",14,14,NA
"77","Refused",0,14,NA
"99","Don't know",1,15,NA
".","Missing",3471,3486,NA
