"DR1TNUMF.Code.or.Value","DR1TNUMF.Value.Description","DR1TNUMF.Count","DR1TNUMF.Cumulative","DR1TNUMF.Skip.to.Item"
"0 to 45","Range of Values",8506,8506,NA
".","Missing",1038,9544,NA
