"WBXA059.Code.or.Value","WBXA059.Value.Description","WBXA059.Count","WBXA059.Cumulative","WBXA059.Skip.to.Item"
"-5.6741 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
