"LBDF03LC.Code.or.Value","LBDF03LC.Value.Description","LBDF03LC.Count","LBDF03LC.Cumulative","LBDF03LC.Skip.to.Item"
"0","detectable result",751,751,NA
"1","below detectable limit",1144,1895,NA
".","Missing",379,2274,NA
