"DR1TALCO.Code.or.Value","DR1TALCO.Value.Description","DR1TALCO.Count","DR1TALCO.Cumulative","DR1TALCO.Skip.to.Item"
"0 to 591.4","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
