"LBDFOT.Code.or.Value","LBDFOT.Value.Description","LBDFOT.Count","LBDFOT.Cumulative","LBDFOT.Skip.to.Item"
"1.8 to 614","Range of Values",8047,8047,NA
".","Missing",1118,9165,NA
