"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",101,101,""
"2","No",5470,5571,"DRD370T"
".","Missing",4379,9950,""
