"WBXA080.Code.or.Value","WBXA080.Value.Description","WBXA080.Count","WBXA080.Cumulative","WBXA080.Skip.to.Item"
"-2.9495 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
