"DS1ICALC.Code.or.Value","DS1ICALC.Value.Description","DS1ICALC.Count","DS1ICALC.Cumulative","DS1ICALC.Skip.to.Item"
"1.2 to 4000","Range of Values",2437,2437,NA
".","Missing",3286,5723,NA
