"PFQ049.Code.or.Value","PFQ049.Value.Description","PFQ049.Count","PFQ049.Cumulative","PFQ049.Skip.to.Item"
"1","Yes",879,879,NA
"2","No",5337,6216,NA
"7","Refused",0,6216,NA
"9","Don't know",2,6218,NA
".","Missing",2798,9016,NA
